Class	namco	Type	Descriptor	BaseId	Spawned	Beta	Code	ClientOnly	NoMap	SizeX	SizeY	Height	OverlayHeight	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MeleeRng	MinGrp	MaxGrp	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	SpawnComponents	BaseW	AIParam1	Comment	AIParam2	Comment	AIParam3	Comment	AIParam4	Comment	AIParam5	Comment	ModeDH	ModeN	ModeW	ModeGH	ModeA1	ModeA2	ModeB	ModeC	ModeS1	ModeS2	ModeS3	ModeS4	ModeDD	ModeKB	ModeSQ	ModeRN	ElMode	ElType	ElOver	ElPct	ElMinD	ElMaxD	ElDur	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	A1Move	A2Move	S1Move	S2Move	S3Move	S4Move	Cmove	Align	IsMelee	IsSel	IsSel2	NeverSel	CorpseSel	IsAtt	IsNPC	IsCritter	InTown	Bleed	Shadow	Light	NoUniqueShift	CompositeDeath	Skill1	Skill1Seq	Skill1Lvl	Skill2	Skill2Seq	Skill2Lvl	Skill3	Skill3Seq	Skill3Lvl	Skill4	Skill4Seq	Skill4Lvl	Skill5	Skill5Seq	Skill5Lvl	LightR	LightG	LightB	DamageResist	MagicResist	FireResist	LightResist	ColdResist	PoisonResist	DamageResist(N)	MagicResist(N)	FireResist(N)	LightResist(N)	ColdResist(N)	PoisonResist(N)	DamageResist(H)	MagicResist(H)	FireResist(H)	LightResist(H)	ColdResist(H)	PoisonResist(H)	DamageRegen	eLUndead	eHUndead	eDemon	eMagicUsing	eLarge	eSmall	eFlying	eOpenDoors	eSpawnCol	eBoss	PixHeight	Interact	MinHP	MaxHP	AC	Exp	ToBlock	A1MinD	A1MaxD	A1ToHit	A2MinD	A2MaxD	A2ToHit	S1MinD	S1MaxD	S1ToHit	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1ToHit(N)	A2MinD(N)	A2MaxD(N)	A2ToHit(N)	S1MinD(N)	S1MaxD(N)	S1ToHit(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1ToHit(H)	A2MinD(H)	A2MaxD(H)	A2ToHit(H)	S1MinD(H)	S1MaxD(H)	S1ToHit(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	SpawnPctBonus	Soft	Heart	BodyPart	Killable	Switch	Restore	NeverCount	HitClass	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	DeadCollision	UnflatDead	BloodLocal	DeathDamage	PetIgnore	NoGfxHitTest	HitTestTop	HitTestLeft	HitTestWidth	HitTestHeight
Gorbelly	Gorbelly	PinHead	stun attack	56	1	0	PN	0	0	3	3	3	3	4	4	0	20	45	70	0	1	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	hth	80		12		80		9		50		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	2	1	0	0	0	97	1	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	112	0	45	81	101	341	27	10	18	51	16	20	38	0	0	0	192	346	245	2069	30	55	198	49	61	147	0	0	0	493	889	410	9396	56	100	439	89	111	325	0	0	0	1	75	91	0	1	75	93	77	1	75	93	77	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Mauler	Mauler	PinHead	stun attack	56	1	0	PN	0	0	3	3	3	3	6	6	0	25	50	75	0	2	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	hth	85		9		90		7		60		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	2	1	0	0	0	97	1	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	112	0	55	100	126	550	33	12	22	64	19	24	47	0	0	0	213	384	272	2902	34	61	220	54	68	163	0	0	0	528	952	440	12575	60	107	470	95	119	348	0	0	0	1	78	92	0	1	78	93	79	1	78	93	79	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Urdar	Urdar	PinHead	stun attack	56	1	0	PN	0	0	3	3	3	3	8	8	0	32	57	82	0	2	4	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	hth	90		7		95		5		65		1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	2	1	0	0	0	97	1	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	25	25	50	25	0	0	50	50	50	50	0	0	50	50	50	50	6	0	0	0	0	1	0	0	1	0	0	112	0	70	126	161	1071	42	15	27	81	24	30	60	0	0	0	242	437	310	4661	38	69	251	61	77	185	0	0	0	577	1040	481	18908	65	117	514	104	130	380	0	0	0	1	79	92	2	1	79	93	0	1	79	93	0	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
SandMaggotEgg	SandMaggotEgg	SandMaggotEgg		57	0	0	SE	0	0	1	1	1	1	1	1	0	16	41	66	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	270	pause	18	hatch pct	0		0		0		1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	159	7	2	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	32	0	26	33	80	101	1	0	0	0	0	0	0	0	0	0	125	156	223	681	0	0	0	0	0	0	0	0	0	332	415	387	3210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RockWormEgg	RockWormEgg	SandMaggotEgg		57	0	0	SE	0	0	1	1	1	1	1	1	0	17	42	67	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	240		22		0		0		0		1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	159	7	3	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	32	0	28	34	85	111	1	0	0	0	0	0	0	0	0	0	128	160	229	729	0	0	0	0	0	0	0	0	0	337	421	393	3403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DevourerEgg	DevourerEgg	SandMaggotEgg		57	0	0	SE	0	0	1	1	1	1	1	1	0	19	44	69	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	210		26		0		0		0		1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	159	7	4	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	32	0	31	38	95	134	1	0	0	0	0	0	0	0	0	0	134	168	240	834	0	0	0	0	0	0	0	0	0	347	434	405	3823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GiantLampreyEgg	GiantLampreyEgg	SandMaggotEgg		57	0	0	SE	0	0	1	1	1	1	1	1	0	21	46	71	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	180		30		0		0		0		1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	159	7	4	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	32	0	34	42	106	162	1	0	0	0	0	0	0	0	0	0	140	175	250	955	0	0	0	0	0	0	0	0	0	357	446	416	4296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WorldKillerEgg	WorldKillerEgg	SandMaggotEgg		57	0	0	SE	0	0	1	1	1	1	1	1	0	27	52	77	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	150		34		0		0		0		1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	159	7	5	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	32	0	43	53	136	287	1	0	0	0	0	0	0	0	0	0	158	198	283	1433	0	0	0	0	0	0	0	0	0	387	484	451	6094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	Act2Male	NPC		58	0	0	2M	0	0	2	2	0	2	2	2	0	99	124	149	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	hth	0		0		0		0		0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dummy	Act2Female	NPC		59	0	0	2F	0	0	2	2	0	2	2	2	0	99	124	149	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	hth	0		0		0		0		0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	Act2Child	NPC		60	0	0	2C	0	0	2	2	0	2	2	2	0	99	124	149	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	hth	0		0		0		0		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greiz	Greiz	NPC		61	1	0	GR	0	0	2	2	0	2	4	4	0	99	124	149	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	80	1	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elzix	Elzix	NPC		62	1	0	EL	0	0	2	2	0	2	3	3	0	99	124	149	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	80	1	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geglash	Geglash	NPC		63	1	0	GE	0	0	2	2	0	2	2	2	0	99	124	149	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	1	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jerhyn	Jerhyn	NPC		64	1	0	JE	0	0	2	2	0	2	4	4	0	99	124	149	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	80	1	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lysander	Lysander	NPC		65	1	0	LY	0	0	2	2	0	2	3	3	0	99	124	149	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	80	1	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dummy	Act2Guard	NPC		66	1	0	GU	0	0	2	2	0	2	4	7	0	99	124	149	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	9	0	hth	0		0		0		0		0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	Act2Vendor1	NPC		67	1	0	M1	0	0	2	2	0	2	4	4	0	99	124	149	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dummy	Act2Vendor2	NPC		68	1	0	M2	0	0	2	2	0	2	4	4	0	99	124	149	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FoulCrowNest	FoulCrowNest	FoulCrowNest		69	0	1	BN	0	0	3	3	3	3	0	0	0	3	28	53	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	100		0		6	nCrows	0		0		1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	167	15	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	128	0	41	49	3	88	1	0	0	0	0	0	0	0	0	0	538	645	34	1017	0	0	0	0	0	0	0	0	0	1669	2003	70	5416	0	0	0	0	0	0	0	0	0	1	70	80	90	1	70	89	93	1	70	89	93	45	1	xxx	xxx	1	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BloodHawkNest	BloodHawkNest	FoulCrowNest		69	0	1	BN	0	0	3	3	3	3	0	0	0	8	33	58	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	100		0		8	nCrows	0		0		1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	167	15	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	128	0	88	105	9	177	1	0	0	0	0	0	0	0	0	0	631	758	40	1426	0	0	0	0	0	0	0	0	0	1825	2190	76	7248	0	0	0	0	0	0	0	0	0	1	71	81	90	1	71	89	93	1	71	89	93	45	1	xxx	xxx	1	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BlackVultureNest	BlackVultureNest	FoulCrowNest		69	0	0	BN	0	0	3	3	3	3	0	0	0	15	40	65	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	100		0		10	nCrows	0		0		1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	167	15	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	128	0	153	184	17	329	1	0	0	0	0	0	0	0	0	0	763	915	49	2290	0	0	0	0	0	0	0	0	0	2044	2453	85	10899	0	0	0	0	0	0	0	0	0	1	73	83	91	1	73	89	93	1	73	89	93	45	1	xxx	xxx	1	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CloudStalkerNest	CloudStalkerNest	FoulCrowNest		69	0	0	BN	0	0	3	3	3	3	0	0	0	22	47	72	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	100		0		15	nCrows	0		0		1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	167	15	1	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	128	0	219	263	25	641	1	0	0	0	0	0	0	0	0	0	894	1073	57	3678	0	0	0	0	0	0	0	0	0	2263	2715	95	16388	0	0	0	0	0	0	0	0	0	1	76	86	92	1	76	89	93	1	76	89	93	45	1	xxx	xxx	1	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Meshif	Meshif	NPC		70	1	0	MS	0	0	2	2	0	2	4	4	0	99	124	149	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	hth	0		0		0		0		0		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	80	1	4	4	497	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	xxx	xxx	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Duriel	Duriel	Boss		71	0	0	DU	0	0	3	3	3	4	10	15	0	22	47	72	2	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	5	0	hth	0		0		0		0		0		1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	5	9	0	100	0	0	15	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	1	9	1	1	107	36	5	10	37	15	97	38	7	0	0	0	0	0	0	255	255	255	0	0	20	20	50	20	0	0	50	50	100	50	0	0	50	50	100	50	0	0	0	0	0	1	0	0	0	0	1	112	0	2188	2188	111	6005	46	22	32	90	16	23	113	0	0	0	8938	8938	256	34446	63	95	331	48	67	414	0	0	0	22625	22625	422	153495	114	172	722	87	121	903	0	0	0	33	31	18	29	33	31	18	29	33	31	18	29	0	1	xxx	xxx	1	0	1	0	3	0	0	0	0	1	0	2	0	0	0	0	0	0	0
Undead RatMan	RatMan-skeleton	Fetish		72	1	0	FK	0	0	2	2	1	1	6	6	0	10	35	60	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1hs	0		55		20		0		0		1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	65535	65535	65535	65535	65535	65535	65535	65535	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	255	255	0	0	0	0	0	50	0	0	0	0	0	60	0	0	0	0	0	75	2	1	0	0	0	0	1	0	1	0	0	48	0	14	24	50	95	11	5	8	19	0	0	0	0	0	0	91	150	191	728	22	33	114	0	0	0	0	0	0	257	423	352	3632	44	67	278	0	0	0	0	0	0	1	72	90	0	1	72	93	76	1	72	93	76	0	1	xxx	xxx	1	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
